"Jouannine parodie sur ""Jeannine"" ","Tremblay, J.R., Mme, 1885-1970",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1043
Le Jour de l'an Le bas de Noël ,"Bolduc, Édouard, Mme, 1894-1941",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1044
Le Jour de l'an New year's day ,"Gauthier, Conrad, 1885-1964",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1045
Les joyeuses Québécoises reel ,"Bouchard, Jos, 1905-1979","1948, 1938","1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1046
Le jupon d'Angèle  [enregistrement sonore] ,"Daignault, Eugène, 1895-1960",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1047
Jusqu'au dernier jour Till the end of time ,"Aubert, Jacques, musicien",1945,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1048
Là où le Mississippi Where the Mississippi flows ,"Bézazian, Torcom",1922,"1 disque : analogique, 80 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1049
Laisse-moi si tu m'aimes  [enregistrement sonore] ,"Mousseau, Roméo",1929,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1050
"Laisse-moi t'aimer sur l'air de ""Let me call you sweetheart"" ","Pellerin, Hector, 1887-1953",1926,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1051
Laisse-moi te dire sur l'air de Let me call you sweetheart ,"Lavoie, Hercule",1926,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1052
Lancier (galop) 5ème partie ; Reel Pointe-au-Pic ,"Bouchard, Jos, 1905-1979","1952, 1938","1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1053
Larmes d'amour  [enregistrement sonore] ,"Belleval, J.F. de (Joséphat Fournier de)",1923,"1 disque : analogique, 80 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1054
Larmes d'amour Les feuilles sont mortes ,"Larochelle, Émile, 1891-1958",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1055
Laura  [enregistrement sonore] ,"Robi, Alys, 1923-2011",1944,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1056
La légende des flots bleus  [enregistrement sonore] ,"Pellerin, Hector, 1887-1953",1918,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1057
La légende des nations Chante ma bergère ,"Gauthier, Conrad, 1885-1964",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1058
Lenora  [enregistrement sonore] ,"Cartier, Jean",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1059
La lettre le temps d'aimer ,"Hahn, Reynaldo, 1875-1947",1930,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1060
La lettre d'un soldat canadien La réponse à la lettre d'un soldat canadien ,"Rémia, José",1942,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1061
Lilas-blanc Le couteau ,"Botrel, Théodore, 1868-1925",1922,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1062
Lili Marlene Dolorès ,"Aubert, Jacques, musicien",1947,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1063
Lily Marlene Tout passe dans la vie ,"L'Herbier, Robert, 1921-2008",1947,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1064
"Loin des guitares du film ""Au son des guitares"" ","Scotto, Vincent, 1876-1952",1937,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1065
Le long du corridor  [enregistrement sonore] ,"Pellerin, Hector, 1887-1953",1923,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1066
Le long du St. Laurent  [enregistrement sonore] ,"Pellerin, Hector, 1887-1953",1920,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1067
Lord Jonas Le pendu ,"Gauthier, Conrad, 1885-1964",1931,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1068
Lorsqu'en mon coeur l'amour est venu When love comes stealing ,"Cartier, Jean",1928,"1 disque : analogique, 78 r/min ; 25 cm",http://collections.banq.qc.ca/ark:/52327/1069
